Date,Signal,DayReturn,TradeCost,PnL,Equity,Regime
2018-03-22,1,-0.022488995834565,0.001,-0.023488995834565003,0.38434107219960706,1|0
2018-03-23,1,0.0173169404672413,0.0,0.0173169404672413,0.3909966836660033,1|0
2018-03-24,1,-0.0238185865170761,0.0,-0.0238185865170761,0.3816836953282148,1|0
2018-03-25,1,-0.0198820322538306,0.0,-0.0198820322538306,0.374095047786938,1|0
2018-03-26,1,-0.0337084851061746,0.0,-0.0337084851061746,0.3614848704403183,1|0
2018-03-27,1,-0.0458450475862155,0.0,-0.0458450475862155,0.34491257935328495,1|0
2018-03-28,0,0.015503551724572,0.001,-0.001,0.3445676667739317,1|0
2018-03-29,0,-0.0991617034794232,0.0,-0.0,0.3445676667739317,1|0
2018-03-30,1,-0.0384024126436746,0.001,-0.0394024126436746,0.33099086938403705,1|0
2018-03-31,0,0.0120469522459418,0.001,-0.001,0.330659878514653,1|0
2018-04-01,1,-0.0185415146519809,0.001,-0.0195415146519809,0.3241982836538367,1|0
2018-04-02,0,0.0350031814977587,0.001,-0.001,0.32387408537018286,1|0
2018-04-03,0,0.0525579588439786,0.0,0.0,0.32387408537018286,1|0
2018-04-04,0,-0.0807753681979956,0.0,-0.0,0.32387408537018286,1|0
2018-04-05,1,-0.0061818819628367,0.001,-0.0071818819628367,0.32154805991823254,1|0
2018-04-06,1,-0.0257140360451562,0.0,-0.0257140360451562,0.31327976151524506,1|0
2018-04-07,1,0.0414039749152079,0.0,0.0414039749152079,0.3262507889024646,1|0
2018-04-08,1,0.0162680819267493,0.0,0.0162680819267493,0.3315582634649965,1|0
2018-04-09,1,-0.0359919297388677,0.0,-0.0359919297388677,0.3196248417420234,1|0
2018-04-10,0,0.009456851084145,0.001,-0.001,0.31930521690028135,1|0
2018-04-11,1,0.01954129525744,0.001,0.01854129525744,0.3252255492040704,1|0
2018-04-12,0,0.1321595734714284,0.001,-0.001,0.3249003236548663,1|0
2018-04-13,1,0.0008505194964667,0.001,-0.00014948050353330003,0.3248517573908883,1|0
2018-04-14,1,0.0114337298927718,0.0,0.0114337298927718,0.32856602464008794,1|0
2018-04-15,1,0.042932607475504,0.0,0.042932607475504,0.34267222080574766,1|0
2018-04-16,1,-0.0324693056367979,0.0,-0.0324693056367979,0.3315458917351655,1|0
2018-04-17,1,-0.0194300150822617,0.0,-0.0194300150822617,0.32510395005828935,1|0
2018-04-18,0,0.0330710082133138,0.001,-0.001,0.32477884610823105,1|0
2018-04-19,1,0.0160336782488381,0.001,0.015033678248838098,0.32966146678265107,1|0
2018-04-20,1,0.0664938417281331,0.0,0.0664938417281331,0.3515819241787609,1|0
2018-04-21,1,0.0056241188854653,0.0,0.0056241188854653,0.3535592627183229,1|0
2018-04-22,1,-0.0104681332043191,0.0,-0.0104681332043191,0.3498581572605666,1|0
2018-04-23,1,0.0145890946899942,0.0,0.0145890946899942,0.3549622710449079,1|0
