2025-12-07 13:31:56 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3100, retrain forced=True, regime_changed=True
2025-12-07 13:31:56 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3105, retrain forced=True, regime_changed=True
2025-12-07 13:31:56 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3106, retrain forced=True, regime_changed=True
2025-12-07 13:31:57 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3109, retrain forced=True, regime_changed=True
2025-12-07 13:31:57 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3110, retrain forced=True, regime_changed=True
2025-12-07 13:31:57 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3113, retrain forced=True, regime_changed=True
2025-12-07 13:31:57 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3114, retrain forced=True, regime_changed=True
2025-12-07 13:31:57 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3125, retrain forced=True, regime_changed=True
2025-12-07 13:31:57 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3128, retrain forced=True, regime_changed=True
2025-12-07 13:31:57 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3130, retrain forced=True, regime_changed=True
2025-12-07 13:31:57 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3131, retrain forced=True, regime_changed=True
2025-12-07 13:31:58 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3132, retrain forced=True, regime_changed=True
2025-12-07 13:31:58 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3133, retrain forced=True, regime_changed=True
2025-12-07 13:31:58 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3144, retrain forced=True, regime_changed=True
2025-12-07 13:31:58 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3147, retrain forced=True, regime_changed=True
2025-12-07 13:31:58 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3229, retrain forced=True, regime_changed=True
2025-12-07 13:31:58 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3230, retrain forced=True, regime_changed=True
2025-12-07 13:31:59 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3250, retrain forced=True, regime_changed=True
2025-12-07 13:31:59 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3251, retrain forced=True, regime_changed=True
2025-12-07 13:31:59 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3263, retrain forced=True, regime_changed=True
2025-12-07 13:31:59 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3264, retrain forced=True, regime_changed=True
2025-12-07 13:32:00 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3556, retrain forced=True, regime_changed=True
2025-12-07 13:32:00 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3557, retrain forced=True, regime_changed=True
2025-12-07 13:32:00 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3564, retrain forced=True, regime_changed=True
2025-12-07 13:32:00 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3566, retrain forced=True, regime_changed=True
2025-12-07 13:32:00 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3581, retrain forced=True, regime_changed=True
2025-12-07 13:32:01 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3582, retrain forced=True, regime_changed=True
2025-12-07 13:32:01 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3591, retrain forced=True, regime_changed=True
2025-12-07 13:32:01 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3592, retrain forced=True, regime_changed=True
2025-12-07 13:32:01 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3594, retrain forced=True, regime_changed=True
2025-12-07 13:32:01 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3597, retrain forced=True, regime_changed=True
2025-12-07 13:32:01 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3609, retrain forced=True, regime_changed=True
